distributor,Rubber,Brass,Vinyl,Granite,Stone,Brick,Aluminum,Glass,Plexiglass,Steel,Wood,Plastic
"1,526","$22.431.099,00","$36.031.577,00","$31.118.167,00","$21.322.223,00","$35.382.848,00","$35.280.292,00","$32.362.235,00","$36.836.190,00","$9.440.858.902,00","$34.676.425,00","$31.862.742,00","$32.588.556,00"
"1,553","$27.566.922,00","$21.996.538,00","$39.412.316,00","$25.681.987,00","$41.861.783,00","$22.408.742,00","$40.690.302,00","$37.958.885,00","$8.726.744.768,00","$26.472.020,00","$27.403.955,00","$37.881.851,00"
"1,666","$37.577.095,00","$41.457.655,00","$31.467.967,00","$37.577.926,00","$35.845.106,00","$42.953.168,00","$33.817.289,00","$41.602.183,00","$1.223.232.055,00","$30.599.951,00","$40.514.747,00","$38.569.219,00"
364,"$36.012.730,00","$41.667.692,00","$22.837.073,00","$29.288.200,00","$39.553.494,00","$33.513.588,00","$36.827.718,00","$29.669.764,00","$44.858.747,00","$26.820.925,00","$20.797.348,00","$21.064.408,00"
920,"$43.416.417,00","$36.290.780,00","$23.679.738,00","$21.183.706,00","$25.210.622,00","$30.864.041,00","$41.173.207,00","$36.719.169,00","$43.893.114,00","$22.575.455,00","$21.351.499,00","$24.607.204,00"
860,"$43.909.858,00","$27.128.183,00","$36.391.549,00","$21.542.467,00","$34.971.118,00","$24.495.086,00","$37.708.256,00","$26.877.104,00","$43.552.441,00","$43.933.774,00","$33.932.246,00","$25.891.558,00"
241,"$28.550.182,00","$36.499.732,00","$41.512.708,00","$22.262.065,00","$30.270.432,00","$34.506.212,00","$29.217.327,00","$36.706.402,00","$42.933.183,00","$37.610.210,00","$43.345.217,00","$38.564.095,00"
175,"$21.771.886,00","$43.109.659,00","$23.247.953,00","$22.866.072,00","$31.459.461,00","$30.652.665,00","$42.058.181,00","$41.910.985,00","$42.259.050,00","$34.391.207,00","$23.556.203,00","$26.611.825,00"
308,"$36.667.511,00","$25.366.105,00","$24.902.331,00","$36.605.735,00","$44.673.772,00","$31.541.390,00","$36.511.291,00","$23.484.274,00","$41.220.715,00","$28.142.369,00","$21.970.464,00","$44.234.252,00"
"1,183","$39.958.024,00","$40.169.347,00","$35.399.555,00","$25.461.219,00","$37.801.759,00","$30.154.265,00","$42.855.837,00","$31.635.653,00","$41.009.467,00","$12.242.337.842,00","$43.253.537,00","$23.863.490,00"
"1,71","$23.722.590,00","$24.623.967,00","$41.133.545,00","$35.578.933,00","$45.015.411,00","$139.362.635,00","$30.191.296,00","$44.104.922,00","$39.682.306,00","$27.423.575,00","$34.325.574,00","$25.243.279,00"
