PYid,id,location,department,activities
71,,Abaí,Caazapá,"food and beverage products manufacture, other non-metallic mineral products manufacture"
224,#N/A,Acahay,Paraguarí,"food and beverage products manufacture, other non-metallic mineral products manufacture"
208,#N/A,Alberdi,Ñeembucú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
168,#N/A,Alto Verá,Itapúa,"food and beverage products manufacture, other non-metallic mineral products manufacture"
7,409,Altos,Cordillera,"agriculture, livestock, hunting and related, light wood production,  sausages production"
251,#N/A,Antequera,San Pedro,"food and beverage products manufacture, other non-metallic mineral products manufacture"
98,#N/A,Areguá,Central,"agriculture, livestock, hunting and related, food and beverage products manufacture, chemical substances and products manufacture, rubber and plastic products manufacture, other non-metallic mineral products manufacture, manufactured metal products (except machinery and equipment), furniture manufacture"
117,#N/A,Arroyito,Concepción,"food and beverage products manufacture, other non-metallic mineral products manufacture"
131,#N/A,Arroyos y Esteros,Cordillera,"food and beverage products manufacture, other non-metallic mineral products manufacture"
44,#N/A,Asunción,Asunción,"agriculture, livestock, hunting and related, food and beverage products manufacture, chemical substances and products manufacture, rubber and plastic products manufacture, other non-metallic mineral products manufacture, manufactured metal products (except machinery and equipment), furniture manufacture"
132,#N/A,Atyrá,Cordillera,"food and beverage products manufacture, other non-metallic mineral products manufacture"
198,#N/A,Ayolas,Misiones,"food and beverage products manufacture, other non-metallic mineral products manufacture"
118,#N/A,Azotey,Concepción,"food and beverage products manufacture, other non-metallic mineral products manufacture"
12,#N/A,Bahía Negra,Alto Paraguay,"food and beverage products manufacture, other non-metallic mineral products manufacture"
119,#N/A,Belén,Concepción,"food and beverage products manufacture, other non-metallic mineral products manufacture"
169,#N/A,Bella Vista,Itapúa,"food and beverage products manufacture, other non-metallic mineral products manufacture"
38,#N/A,Bella Vista Norte,Amambay,"food and beverage products manufacture, other non-metallic mineral products manufacture"
242,#N/A,Benjamín Aceval,Presidente Hayes,"food and beverage products manufacture, other non-metallic mineral products manufacture"
45,#N/A,Boquerón,Boquerón,"food and beverage products manufacture, other non-metallic mineral products manufacture"
150,#N/A,Borja,Guairá,"food and beverage products manufacture, other non-metallic mineral products manufacture"
72,#N/A,Buena Vista,Caazapá,"food and beverage products manufacture, other non-metallic mineral products manufacture"
133,#N/A,Caacupé,Cordillera,"food and beverage products manufacture, other non-metallic mineral products manufacture"
49,#N/A,Caaguazú,Caaguazú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
225,#N/A,Caapucú,Paraguarí,"food and beverage products manufacture, other non-metallic mineral products manufacture"
73,#N/A,Caazapá,Caazapá,"food and beverage products manufacture, other non-metallic mineral products manufacture"
170,#N/A,Cambyretá,Itapúa,"food and beverage products manufacture, other non-metallic mineral products manufacture"
243,#N/A,Campo Aceval,Presidente Hayes,"food and beverage products manufacture, other non-metallic mineral products manufacture"
99,#N/A,Capiatá,Central,"agriculture, livestock, hunting and related, food and beverage products manufacture, chemical substances and products manufacture, rubber and plastic products manufacture, other non-metallic mineral products manufacture, manufactured metal products (except machinery and equipment), furniture manufacture"
252,#N/A,Capiibary,San Pedro,"food and beverage products manufacture, other non-metallic mineral products manufacture"
39,#N/A,Capitán Bado,Amambay,"food and beverage products manufacture, other non-metallic mineral products manufacture"
13,#N/A,Capitán Carmelo Peralta,Alto Paraguay,"food and beverage products manufacture, other non-metallic mineral products manufacture"
151,#N/A,Capitán Mauricio José Troche,Guairá,"food and beverage products manufacture, other non-metallic mineral products manufacture"
171,#N/A,Capitán Meza,Itapúa,"food and beverage products manufacture, other non-metallic mineral products manufacture"
172,#N/A,Capitán Miranda,Itapúa,"food and beverage products manufacture, other non-metallic mineral products manufacture"
134,#N/A,Caraguatay,Cordillera,"food and beverage products manufacture, other non-metallic mineral products manufacture"
226,#N/A,Carapeguá,Paraguarí,"food and beverage products manufacture, other non-metallic mineral products manufacture"
50,#N/A,Carayaó,Caaguazú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
173,#N/A,Carlos Antonio López,Itapúa,"food and beverage products manufacture, other non-metallic mineral products manufacture"
174,#N/A,Carmen del Paraná,Itapúa,"food and beverage products manufacture, other non-metallic mineral products manufacture"
209,#N/A,Cerrito,Ñeembucú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
40,#N/A,Cerro Corá,Amambay,"food and beverage products manufacture, other non-metallic mineral products manufacture"
253,#N/A,Choré,San Pedro,"food and beverage products manufacture, other non-metallic mineral products manufacture"
16,#N/A,Ciudad del Este,Alto Paraná,"agriculture, livestock, hunting and related, food and beverage products manufacture, chemical substances and products manufacture, rubber and plastic products manufacture, other non-metallic mineral products manufacture, manufactured metal products (except machinery and equipment), furniture manufacture"
120,#N/A,Concepción,Concepción,"food and beverage products manufacture, other non-metallic mineral products manufacture"
175,#N/A,Coronel José Félix Bogado,Itapúa,"food and beverage products manufacture, other non-metallic mineral products manufacture"
11,523,Coronel Martínez,Guairá,"agriculture, livestock, hunting and related"
51,#N/A,Coronel Oviedo,Caaguazú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
82,#N/A,Corpus Christi,Canindeyú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
83,#N/A,Curuguaty,Canindeyú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
210,#N/A,Desmochados,Ñeembucú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
153,#N/A,Doctor Botrell,Guairá,"food and beverage products manufacture, other non-metallic mineral products manufacture"
52,#N/A,Doctor Cecilio Báez,Caaguazú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
53,#N/A,Doctor Juan Eulogio Estigarribia,Caaguazú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
17,#N/A,Doctor Juan León Mallorquín,Alto Paraná,"agriculture, livestock, hunting and related, food and beverage products manufacture, chemical substances and products manufacture, rubber and plastic products manufacture, other non-metallic mineral products manufacture, manufactured metal products (except machinery and equipment), furniture manufacture"
54,#N/A,Doctor Juan Manuel Frutos,Caaguazú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
74,#N/A,Doctor Moisés Santiago Bertoni,Caazapá,"food and beverage products manufacture, other non-metallic mineral products manufacture"
18,#N/A,Doctor Raúl Peña,Alto Paraná,"agriculture, livestock, hunting and related, food and beverage products manufacture, chemical substances and products manufacture, rubber and plastic products manufacture, other non-metallic mineral products manufacture, manufactured metal products (except machinery and equipment), furniture manufacture"
19,#N/A,Domingo Martínez de Irala,Alto Paraná,"agriculture, livestock, hunting and related, food and beverage products manufacture, chemical substances and products manufacture, rubber and plastic products manufacture, other non-metallic mineral products manufacture, manufactured metal products (except machinery and equipment), furniture manufacture"
176,#N/A,Edelira,Itapúa,"food and beverage products manufacture, other non-metallic mineral products manufacture"
135,#N/A,Emboscada,Cordillera,"food and beverage products manufacture, other non-metallic mineral products manufacture"
177,#N/A,Encarnación,Itapúa,"food and beverage products manufacture, other non-metallic mineral products manufacture"
227,#N/A,Escobar,Paraguarí,"food and beverage products manufacture, other non-metallic mineral products manufacture"
136,#N/A,Eusebio Ayala,Cordillera,"food and beverage products manufacture, other non-metallic mineral products manufacture"
154,#N/A,Félix Pérez Cardozo,Guairá,"food and beverage products manufacture, other non-metallic mineral products manufacture"
100,#N/A,Fernando de la Mora,Central,"agriculture, livestock, hunting and related, food and beverage products manufacture, chemical substances and products manufacture, rubber and plastic products manufacture, other non-metallic mineral products manufacture, manufactured metal products (except machinery and equipment), furniture manufacture"
46,#N/A,Filadelfia,Boquerón,"food and beverage products manufacture, other non-metallic mineral products manufacture"
178,#N/A,Fram,Itapúa,"food and beverage products manufacture, other non-metallic mineral products manufacture"
14,#N/A,Fuerte Olimpo,Alto Paraguay,"food and beverage products manufacture, other non-metallic mineral products manufacture"
75,#N/A,Fulgencio Yegros,Caazapá,"food and beverage products manufacture, other non-metallic mineral products manufacture"
179,#N/A,General Artigas,Itapúa,"food and beverage products manufacture, other non-metallic mineral products manufacture"
228,#N/A,General Bernardino Caballero,Paraguarí,"food and beverage products manufacture, other non-metallic mineral products manufacture"
180,#N/A,General Delgado,Itapúa,"food and beverage products manufacture, other non-metallic mineral products manufacture"
254,#N/A,General Elizardo Aquino,San Pedro,"food and beverage products manufacture, other non-metallic mineral products manufacture"
155,#N/A,General Eugenio Alejandrino Garay,Guairá,"food and beverage products manufacture, other non-metallic mineral products manufacture"
84,#N/A,General Francisco Caballero Álvarez,Canindeyú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
76,#N/A,General Higinio Morínigo,Caazapá,"food and beverage products manufacture, other non-metallic mineral products manufacture"
255,#N/A,General Isidoro Resquín,San Pedro,"food and beverage products manufacture, other non-metallic mineral products manufacture"
211,#N/A,General José Eduvigis Díaz,Ñeembucú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
244,#N/A,General José María Bruguez,Presidente Hayes,"food and beverage products manufacture, other non-metallic mineral products manufacture"
101,#N/A,Guarambaré,Central,"agriculture, livestock, hunting and related, food and beverage products manufacture, chemical substances and products manufacture, rubber and plastic products manufacture, other non-metallic mineral products manufacture, manufactured metal products (except machinery and equipment), furniture manufacture"
256,#N/A,Guayaibí,San Pedro,"food and beverage products manufacture, other non-metallic mineral products manufacture"
5,519,Guayaybi,San Pedro,"agriculture, livestock, hunting and related"
212,#N/A,Guazú Cuá,Ñeembucú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
20,#N/A,Hernandarias,Alto Paraná,"agriculture, livestock, hunting and related, food and beverage products manufacture, chemical substances and products manufacture, rubber and plastic products manufacture, other non-metallic mineral products manufacture, manufactured metal products (except machinery and equipment), furniture manufacture"
181,#N/A,Hohenau,Itapúa,"food and beverage products manufacture, other non-metallic mineral products manufacture"
121,#N/A,Horqueta,Concepción,"food and beverage products manufacture, other non-metallic mineral products manufacture"
213,#N/A,Humaitá,Ñeembucú,"food and beverage products manufacture, other non-metallic mineral products manufacture"
156,#N/A,Independencia,Guairá,"food and beverage products manufacture, other non-metallic mineral products manufacture"
