team_name,nombre_comun,partidos_jugados,partidos_jugados_local,partidos_jugados_visitante,victorias,victorias_local,victorias_visitante,empates,empates_local,empates_visitante,derrotas,derrotas_local,derrotas_visitante,puntos_por_partido,puntos_por_partido_local,puntos_por_partido_visitante,goles_convertidos,goles_recibidos,diferencia_gol,total_goles,total_goles_local,total_goles_visitante,goles_convertidos_local,goles_convertidos_visitante,goles_recibidos_local,goles_recibidos_visitante,diferencia_gol_local,diferencia_gol_visit,minutos_entre_goles,minutos_entre_goles_local,minutos_entre_goles_visitante,minutos_entre_golesrecibidos,minutos_entre_golesrecibidos_local,minutos_entre_golesrecibidos_visit,valla_invicta,valla_invicta_local,valla_invicta_visitante,primer_equipo_convertir,primer_equipo_convertir_local,primer_equipo_convertir_visit,corners_total,corners_total_local,corners_total_visitante,tarjetas_totales,tarjetas_totales_local,tarjetas_totales_visitante,posesion_prom,posesion_prom_loc,posesion_prom_visit,disparos,disparos_local,disparos_visitante,disparos_puerta,disparos_puerta_loc,disparos_puerta_visit,disparos_fueradepuerta,disparos_fueradepuerta_loc,disparos_fueradepuerta_visit,faltas,fouls_local,faltas_visit,goles_primer_mitad,goles_primer_mitad_loc,goles_primer_mitad_visit,goles_recib_segunda_mitad,goles_recib_segunda_mitad_local,goles_recib_segunda_mitad_visit,diferencia_gol_primertiempo,diferencia_gol_primertiempo_loc,diferencia_gol_primertiempo_visit,ganando_primertiempo,ganando_primertiempo_loc,ganando_primertiempo_visit,empatando_primertiempo,empatando_primertiempo_local,empatando_primertiempo_visit,perdiendo_primertiempo,perdiendo_primertiempo_loc,perdiendo_primertiempo_visit,puntos_partido_primertiempo,puntos_partido_primertiempo_loc,puntos_partido_primertiempo_visit,promedio_goles_partido,promedio_goles_partido_loc,promedio_goles_partido_visit,goles_por_partido,porcentaje_empate,porcentaje_empate_loc,porcentaje_empate_visit,porcentaje_derrota,porcentaje_derrota_loc,porcentaje_derrota_visit
Argentina National Team,Argentina,6,5,1,5,4,1,1,1,0,0,0,0,2.67,2.6,3.0,9,1,8,10,9,1,8,1,1,0,7,1,60,56,90,529,450,0,5,4,1,6,5,1,32,21,11,8,8,0,57,57,61,73,56,17,41,31,10,32,25,7,60,51,9,2,2,0,0,0,0,2,2,0,2,2,0,4,3,1,0,0,0,1.67,1.8,1.0,1.67,1.8,1.0,1.5,17,20,0,0,0,0
Uruguay National Team,Uruguay,6,4,2,3,2,1,2,1,1,1,1,0,1.83,1.75,2.0,11,4,7,15,10,5,8,3,2,2,6,1,49,45,60,134,180,90,3,2,1,4,2,2,32,23,9,11,8,3,53,54,50,71,50,21,35,23,12,36,27,9,90,61,29,4,3,1,2,1,1,2,2,0,2,2,0,3,1,2,1,1,0,1.5,1.75,1.0,2.5,2.5,2.5,1.83,33,25,50,17,25,0
Ecuador National Team,Ecuador,4,2,2,1,1,0,2,0,2,1,1,0,1.25,1.5,1.0,5,4,1,9,7,2,4,1,3,1,1,0,72,45,180,90,60,180,1,0,1,2,2,0,17,10,7,8,4,4,42,39,45,36,21,15,16,9,7,20,12,8,53,28,25,3,3,0,1,0,1,2,3,-1,2,2,0,1,0,1,1,0,1,1.75,3.0,0.5,2.25,3.5,1.0,1.25,50,0,100,25,50,0
Brazil National Team,Brazil,4,2,2,1,0,1,3,2,1,0,0,0,1.5,1.0,2.0,5,2,3,7,2,5,1,4,1,1,0,3,72,180,45,180,180,180,2,1,1,2,1,1,23,15,8,9,4,5,60,63,58,42,22,20,19,8,11,23,14,9,55,27,28,4,1,3,1,1,0,3,0,3,1,0,1,3,2,1,0,0,0,1.5,1.0,2.0,1.75,1.0,2.5,1.25,75,100,50,0,0,0
United States Men's National Team,USMNT,3,2,1,1,1,0,0,0,0,2,1,1,1.0,1.5,0.0,3,3,0,6,3,3,2,1,1,2,1,-1,90,90,90,90,180,45,1,1,0,2,1,1,9,9,0,7,3,4,46,56,26,28,21,7,17,13,4,11,8,3,24,20,4,3,2,1,1,0,1,2,2,0,1,1,0,2,1,1,0,0,0,1.67,2.0,1.0,2.0,1.5,3.0,1.0,0,0,0,67,50,100
Mexico National Team,Mexico,3,2,1,1,1,0,1,1,0,1,0,1,1.33,2.0,0.0,1,1,0,2,1,1,1,0,0,1,1,-1,273,180,0,273,0,90,2,2,0,1,1,0,19,12,7,7,5,2,61,61,62,39,27,12,20,14,6,19,13,6,36,24,12,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,1.0,1.0,1.0,0.67,0.5,1.0,0.33,33,50,0,33,0,100
Chile National Team,Chile,3,1,2,0,0,0,2,0,2,1,1,0,0.67,0.0,1.0,0,1,-1,1,1,0,0,0,1,0,-1,0,0,0,0,273,90,0,2,0,2,0,0,0,7,0,7,8,2,6,49,39,54,19,4,15,11,4,7,8,0,8,39,12,27,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,1.0,1.0,1.0,0.33,1.0,0.0,0.0,67,0,100,33,100,0
Colombia National Team,Colombia,6,3,3,4,3,1,1,0,1,1,0,1,2.17,3.0,1.33,12,3,9,15,11,4,10,2,1,2,9,0,45,27,134,180,273,134,3,2,1,4,3,1,23,11,12,13,4,9,55,61,48,66,28,38,33,16,17,33,12,21,94,44,50,8,6,2,1,0,1,7,6,1,4,3,1,2,0,2,0,0,0,2.33,3.0,1.67,2.5,3.67,1.33,2.0,17,0,33,17,0,33
Costa Rica National Team,Costa Rica,3,1,2,1,1,0,1,0,1,1,0,1,1.33,3.0,0.5,2,4,-2,6,3,3,2,0,1,3,1,-3,134,45,0,68,90,60,1,0,1,1,1,0,4,1,3,6,3,3,32,33,31,8,3,5,3,3,0,5,0,5,35,11,24,2,2,0,1,0,1,1,2,-1,1,1,0,1,0,1,1,0,1,1.33,3.0,0.5,2.0,3.0,1.5,0.67,33,0,50,33,0,50
Canada National Team,Canada,6,2,4,1,0,1,3,2,1,2,0,2,1.0,1.0,1.0,4,7,-3,11,4,7,2,2,2,5,0,-3,134,90,180,77,90,72,2,1,1,2,0,2,25,15,10,16,8,8,48,54,46,57,19,38,28,11,17,29,8,21,83,34,49,2,1,1,2,1,1,0,0,0,1,0,1,4,2,2,1,0,1,1.17,1.0,1.25,1.83,2.0,1.75,0.67,50,100,25,33,0,50
Jamaica National Team,Jamaica,3,1,2,0,0,0,0,0,0,3,1,2,0.0,0.0,0.0,1,7,-6,8,3,5,0,1,3,4,-3,-3,273,0,180,39,30,45,0,0,0,0,0,0,20,6,14,5,1,4,47,47,47,24,8,16,12,2,10,12,6,6,29,4,25,0,0,0,2,0,2,-2,0,-2,0,0,0,2,1,1,1,0,1,0.67,1.0,0.5,2.67,3.0,2.5,0.33,0,0,0,100,100,100
Bolivia National Team,Bolivia,3,1,2,0,0,0,0,0,0,3,1,2,0.0,0.0,0.0,1,10,-9,11,4,7,1,0,3,7,-2,-7,273,90,0,27,30,26,0,0,0,0,0,0,6,2,4,7,2,5,44,51,40,17,7,10,11,5,6,6,2,4,48,17,31,0,0,0,5,1,4,-5,-1,-4,0,0,0,0,0,0,3,1,2,0.0,0.0,0.0,3.67,4.0,3.5,0.33,0,0,0,100,100,100
Peru National Team,Peru,3,2,1,0,0,0,1,1,0,2,1,1,0.33,0.5,0.0,0,3,-3,3,1,2,0,0,1,2,-1,-2,0,0,0,90,180,45,1,1,0,0,0,0,6,3,3,8,3,5,36,42,26,20,15,5,12,10,2,8,5,3,55,35,20,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,1.0,1.0,1.0,1.0,0.5,2.0,0.0,33,50,0,67,50,100
Paraguay National Team,Paraguay,3,1,2,0,0,0,0,0,0,3,1,2,0.0,0.0,0.0,3,8,-5,11,5,6,1,2,4,4,-3,-2,90,90,90,34,23,45,0,0,0,0,0,0,13,4,9,9,4,5,48,45,50,38,14,24,18,7,11,20,7,13,47,12,35,0,0,0,7,3,4,-7,-3,-4,0,0,0,0,0,0,3,1,2,0.0,0.0,0.0,3.67,5.0,3.0,1.0,0,0,0,100,100,100
Panama National Team,Panama,4,1,3,2,1,1,0,0,0,2,0,2,1.5,3.0,1.0,6,10,-4,16,3,13,2,4,1,9,1,-5,60,45,68,36,90,30,0,0,0,1,0,1,9,3,6,10,5,5,54,74,47,41,7,34,20,5,15,21,2,19,54,19,35,2,1,1,5,1,4,-3,0,-3,1,0,1,1,1,0,2,0,2,1.0,1.0,1.0,4.0,3.0,4.33,1.5,0,0,0,50,0,67
Venezuela National Team,Venezuela,4,2,2,3,1,2,1,1,0,0,0,0,2.5,2.0,3.0,7,2,5,9,3,6,2,5,1,1,1,4,51,90,36,180,180,180,2,1,1,2,1,1,23,9,14,6,3,3,53,47,60,43,19,24,17,7,10,26,12,14,37,11,26,0,0,0,2,1,1,-2,-1,-1,0,0,0,2,1,1,2,1,1,0.5,0.5,0.5,2.25,1.5,3.0,1.75,25,50,0,0,0,0
