nombre_completo;edad;posicion;seleccion;club;liga_que_pertenece;total_minutos_jugados;minutos_jugados_local;minutos_jugados_visitante;nacionalidad;partidos_jugados;partidos_jugados_local;partidos_jugados_visitante;total_goles;total_goles_local;total_goles_visitante;total_asistencias;asistencias_local;asistencias_visitante;total_goles_penal;total_penales_errados;total_valla_invicta;valla_invicta_local;valla_invicta_visitante;goles_marcados_rival_en_juego;goles_marcados_rival_en_juego_local;goles_marcados_rival_en_juego_visitante;total_tarjetas_amarillas;total_tarjetas_rojas;promedio_minutos_jugados;promedio_valoracion;total_pases_realizados;total_pases_completados;total_entradas_realizadas;total_entradas_completadas;total_remates;promedio_tiros_por_partido;total_remates_al_arco;partidos_sustituido;partidos_desde_banco;partidos_desde_arranque;total_regates_realizados;total_regates_efectivos;total_pelotas_atajadas;porcentaje_partidos_jugados;total_faltas_recibidas;faltas_cometidas;total_duelos_disputados;total_duelos_ganados;UrlImagen
Alejandro Garnacho;20;Delantero;Argentina;Manchester United;Premier League;66;66;0;Argentina;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;66;6.81;20;16;2;0;1;1;0;2;0;1;4;1;0;4;2;0;11;5;https://copaamerica.com/_next/image?url=%2Fplayers%2Fargentina%2Fargentina-17.png&w=384&q=75
Alexis Mac Allister;25;Volante;Argentina;Liverpool;Premier League;445;355;90;Argentina;5;4;1;0;0;0;2;2;0;0;0;4;3;1;0;0;0;1;0;89;9.73;135;122;12;0;3;1;2;1;0;4;8;2;0;83;6;5;46;23;https://copaamerica.com/_next/image?url=%2Fplayers%2Fargentina%2Fargentina-20.png&w=384&q=75
Ángel Di María;36;Volante;Argentina;Benfica;Primeira Liga;357;340;17;Argentina;5;4;1;0;0;0;1;1;0;0;0;5;4;1;0;0;0;0;0;71;9.8;90;68;3;0;4;1.33;2;2;1;3;10;5;0;83;4;0;22;12;https://copaamerica.com/_next/image?url=%2Fplayers%2Fargentina%2Fargentina-11.png&w=384&q=75
Cristian Romero;26;Defensor;Argentina;Tottenham Hotspur;Premier League;450;360;90;Argentina;5;4;1;0;0;0;0;0;0;0;0;4;3;1;0;0;0;0;0;90;10.14;234;214;22;0;1;0.33;0;0;0;4;0;0;0;83;2;3;37;25;https://copaamerica.com/_next/image?url=%2Fplayers%2Fargentina%2Fargentina-13.png&w=384&q=75
Emiliano Martínez;31;Portero;Argentina;Aston Villa;Premier League;540;450;90;Argentina;6;5;1;0;0;0;0;0;0;0;0;5;4;1;0;0;0;0;0;90;9.18;113;94;0;0;0;0;0;0;0;5;0;0;9;94;1;0;1;0;https://copaamerica.com/_next/image?url=%2Fplayers%2Fargentina%2Fargentina-23.png&w=384&q=75
Enzo Fernández;23;Volante;Argentina;Chelsea;Premier League;353;289;64;Argentina;5;4;1;0;0;0;2;2;0;0;0;4;3;1;0;0;0;0;0;71;9.61;90;72;4;0;5;1.67;1;1;1;3;1;1;0;83;4;1;20;7;https://copaamerica.com/_next/image?url=%2Fplayers%2Fargentina%2Fargentina-24.png&w=384&q=75
Exequiel Palacios;25;Volante;Argentina;Bayer Leverkusen;Bundesliga;102;102;0;Argentina;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;51;13.56;60;57;4;0;0;0;0;0;1;1;2;0;0;21;4;1;14;10;https://copaamerica.com/_next/image?url=%2Fplayers%2Fargentina%2Fargentina-14.png&w=384&q=75
Franco Armani;37;Portero;Argentina;River Plate;Primera Division de Argentina;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://copaamerica.com/_next/image?url=%2Fplayers%2Fargentina%2Fargentina-01.png&w=384&q=75
Germán Pezzella;33;Defensor;Argentina;Real Betis;LaLiga;83;83;0;Argentina;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;83;7.04;63;59;1;0;1;1;0;1;0;1;0;0;0;4;0;0;5;2;https://copaamerica.com/_next/image?url=%2Fplayers%2Fargentina%2Fargentina-06.png&w=384&q=75
Gerónimo Rulli;32;Portero;Argentina;Ajax;Eredivisie;0;0;0;Argentina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://copaamerica.com/_next/image?url=%2Fplayers%2Fargentina%2Fargentina-12.png&w=384&q=75
